n_cod_contrato,grupo_convocatoria_item,monto_adjudicado_item_soles,reduccion_adjudicacion_pct,numero_ofertantes,dias_convocatoria_buenapro_limpio,dias_buenapro_consentimiento_limpio,plazo_contractual_original_dias,anio_inicio_contractual,nivel_gobierno_modelo,sistema_contratacion,tipo_proceso_seleccion,tipo_proveedor,provincia,etiqueta_costo,etiqueta_plazo,etiqueta_costo_5pct,tipo_intervencion_texto,nivel_educativo_texto,es_saldo_obra_texto,es_paquete_texto,es_ioarr_texto
2150795,859753_1,82185138.15,0.0,1,6,0.0,511.0,2022,GOBIERNO NACIONAL,Suma alzada,Convenio,Consorcio,LIMA,0.0,1.0,0,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,1,0
2152326,849039_1,1408607.24,0.0,1,15,1.0,149.0,2022,GOBIERNO LOCAL,Suma alzada,Procedimiento Especial de Contratación,Consorcio,OYON,1.0,1.0,0,REHABILITACION O RECONSTRUCCION,INICIAL,0,0,0
2154674,829930_1,2511582.49,9.99999996416601,22,78,8.0,152.0,2022,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,1.0,0.0,0,SALDO DE OBRA,INICIAL,1,0,0
2170405,878960_1,1427288.88,0.0,2,47,8.0,63.0,2023,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,0.0,0.0,0,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2170413,878960_1,1427288.88,0.0,2,47,8.0,64.0,2023,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,0.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2170725,868708_1,6519298.5,0.0,2,15,7.0,239.0,2023,GOBIERNO LOCAL,Suma alzada,Procedimiento Especial de Contratación,Consorcio,HUAROCHIRI,1.0,1.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2172782,829839_1,2152445.78,9.999999916374206,19,133,12.0,134.0,2023,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,1.0,1.0,0,OTRA INTERVENCION,NO ESPECIFICADO,0,1,0
2194846,909431_1,8645544.96,0.0,1,38,2.0,152.0,2023,GOBIERNO REGIONAL,Suma alzada,Licitación Pública,Consorcio,CAÑETE,1.0,0.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2198674,916875_1,14223774.32,0.0,3,41,19.0,324.0,2023,GOBIERNO REGIONAL,Suma alzada,Licitación Pública,Consorcio,HUARAL,1.0,1.0,0,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2199458,921634_1,966696.61,9.999998789692654,3,22,7.0,108.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,OTRA INTERVENCION,NO ESPECIFICADO,0,0,0
2201390,924280_1,910900.07,9.999998320342625,3,22,10.0,149.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,0,OTRA INTERVENCION,NO ESPECIFICADO,0,0,0
2202578,921119_1,357372.11,9.999994963232856,3,37,7.0,59.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,OTRA INTERVENCION,NO ESPECIFICADO,0,0,0
2202893,921644_1,637607.2,8.870806560861963,2,37,7.0,115.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,0,OTRA INTERVENCION,NO ESPECIFICADO,0,0,0
2204497,922741_1,293990.31,0.0,3,17,9.0,44.0,2023,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,HUAROCHIRI,1.0,0.0,0,CREACION O CONSTRUCCION,PRIMARIA,0,0,0
2206039,926980_1,6835887.26,0.0,7,22,9.0,195.0,2023,GOBIERNO REGIONAL,Suma alzada,Adjudicación Simplificada - Ley N° 31728,Consorcio,HUARAL,0.0,1.0,0,MEJORAMIENTO O AMPLIACION,INICIAL,0,0,0
2206348,930369_1,313421.69,9.999996841316134,6,25,7.0,74.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,OTRA INTERVENCION,NO ESPECIFICADO,0,0,0
2215440,922385_1,450147.42,9.99999820058945,6,96,5.0,76.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,OTRA INTERVENCION,NO ESPECIFICADO,0,0,0
2216110,920819_1,259519.72,9.999998612822154,6,105,2.0,88.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2226490,964436_1,1201162.58,9.999999400580723,12,120,7.0,110.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,0.0,0.0,0,OTRA INTERVENCION,NO ESPECIFICADO,0,0,0
2226498,964436_1,1201162.58,9.999999400580723,12,120,7.0,79.0,2023,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,0.0,0.0,0,OTRA INTERVENCION,NO ESPECIFICADO,0,0,0
2227033,961926_1,8503084.11,0.0,1,18,0.0,316.0,2023,GOBIERNO REGIONAL,Suma alzada,Adjudicación Simplificada - Ley N° 31728,Consorcio,HUAROCHIRI,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2238438,960482_1,26000000.01,0.1637105106801436,5,70,11.0,547.0,2024,GOBIERNO REGIONAL,Suma alzada,Licitación Pública,Persona Juridica,CAÑETE,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2253544,1000074_1,26755524.99,0.0,4,35,13.0,457.0,2024,GOBIERNO REGIONAL,Esquema mixto,Licitación Pública,Consorcio,CAÑETE,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,SECUNDARIA,0,0,0
2254381,995903_1,262315.02,9.999998970703224,4,32,10.0,59.0,2024,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,BARRANCA,1.0,0.0,0,MEJORAMIENTO O AMPLIACION,INICIAL,0,0,0
2260552,992253_1,1987002.76,9.999999411173437,31,64,10.0,149.0,2024,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,0.0,0.0,0,SALDO DE OBRA,NO ESPECIFICADO,1,0,0
2263246,996441_1,1646966.72,9.999999890708176,10,65,8.0,91.0,2024,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,0.0,0,SALDO DE OBRA,INICIAL,1,0,0
2269417,1017918_1,1814199.09,0.0,8,28,8.0,189.0,2024,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,CAÑETE,1.0,0.0,1,MEJORAMIENTO O AMPLIACION,PRIMARIA,0,0,0
2273045,1032284_1,1292499.95,9.999999651837516,5,19,9.0,120.0,2024,GOBIERNO LOCAL,Precios unitarios,Adjudicación Simplificada,Consorcio,HUAURA,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2278954,1037912_1,1977423.36,9.999999726917352,11,80,7.0,119.0,2024,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,CAÑETE,1.0,1.0,1,CREACION O CONSTRUCCION,SECUNDARIA,0,0,0
2279645,1029978_1,230573.55,9.99999882900704,1,66,0.0,61.0,2024,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,0.0,0,MEJORAMIENTO O AMPLIACION,INICIAL,0,0,0
2282244,1043088_1,9452250.42,0.0,1,38,1.0,243.0,2024,GOBIERNO REGIONAL,Suma alzada,Licitación Pública,Persona Juridica,CAÑETE,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,VARIOS NIVELES,0,0,0
2283117,1039617_1,19528406.6,0.0,4,39,13.0,365.0,2024,GOBIERNO REGIONAL,Esquema mixto,Licitación Pública,Consorcio,CAÑETE,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,VARIOS NIVELES,0,0,0
2290126,1050122_1,11030321.82,0.0,4,41,14.0,242.0,2024,GOBIERNO REGIONAL,Suma alzada,Licitación Pública,Consorcio,CAÑETE,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2298781,1054402_1,15991428.13,0.03233530737856039,3,44,13.0,315.0,2024,GOBIERNO REGIONAL,Suma alzada,Licitación Pública,Consorcio,OYON,1.0,0.0,0,MEJORAMIENTO O AMPLIACION,INICIAL,0,0,0
2300783,1069800_1,442698.26,5.0000003218896705,4,13,8.0,74.0,2024,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,CAÑETE,0.0,0.0,0,MEJORAMIENTO O AMPLIACION,SECUNDARIA,0,0,0
2302005,1073668_1,10207161.21,0.0,2,16,8.0,304.0,2024,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,OYON,1.0,1.0,0,MEJORAMIENTO O AMPLIACION,VARIOS NIVELES,0,0,0
